Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Elon Musk,@elonmusk,2025-03-19T16:03:45.000Z,True,,11K,35K,321K,32M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902390544447217678,tweet_id:1902390544447217678
Cristiano Ronaldo,@Cristiano,2025-03-19T21:13:12.000Z,True, ,4.8K,18K,402K,37M,[],[],"['\\U0001f44b\\U0001f3fc', '\\U0001f1e9\\U0001f1f0']",https://pbs.twimg.com/profile_images/1594446880498401282/o4L2z8Ay_normal.jpg,https://x.com/Cristiano/status/1902468420106440970,tweet_id:1902468420106440970
Narendra Modi,@narendramodi,2025-03-19T13:58:34.000Z,True,"केंद्रीय मंत्रिमंडळाने आज पायाभूत सुविधांशी संबंधित एका महत्त्वाच्या प्रकल्पाला, महाराष्ट्रातील जेएनपीए  बंदर  (पागोटे) ते चौक (29.219 किमी) यादरम्यानच्या 6 पदरी प्रवेश-नियंत्रित ग्रीनफिल्ड महामार्गाच्या बांधकामाला मंजुरी दिली. हे आमच्या पीएम गतीशक्ती  आणि बंदरांपासून",379,1.7K,9.3K,1M,[],[],[],https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi/status/1902359040476508235,tweet_id:1902359040476508235
Elon Musk,@elonmusk,2025-03-19T17:00:04.000Z,True,,2.5K,10K,106K,24M,[],[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8']",https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902404719386960149,tweet_id:1902404719386960149
Elon Musk,@elonmusk,2025-03-18T16:49:07.000Z,True,America is healing,9.9K,35K,303K,71M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902039576589357532,tweet_id:1902039576589357532
Narendra Modi,@narendramodi,2025-03-19T12:56:55.000Z,True,"The incentive scheme on promoting low value UPI transactions, which has been approved by the Cabinet today will encourage digital payments and further 'Ease of Living.'https://pib.gov.in/PressReleasePage.aspx?PRID=2112771…",441,2.6K,15K,1.4M,[],[],[],https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi/status/1902343526702313864,tweet_id:1902343526702313864
NASA,@NASA,2025-03-18T23:35:05.000Z,True,LIVE: Leaders from NASA and  are sharing the latest updates following #Crew9's safe return to Earth earlier this evening.,165,566,3.1K,585K,['#Crew9'],['@SpaceX'],[],https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_normal.jpg,https://x.com/NASA/status/1902141740192063930,tweet_id:1902141740192063930
Elon Musk,@elonmusk,2025-03-18T14:18:42.000Z,True,Now,7.6K,22K,148K,40M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902001720084877581,tweet_id:1902001720084877581
Elon Musk,@elonmusk,2025-03-20T03:34:16.000Z,True,Cool,892,993,8.1K,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902564319394422784,tweet_id:1902564319394422784
YouTube,@YouTube,2025-03-18T20:00:01.000Z,True,what's your favorite channel for sports recaps?,174,91,514,284K,[],[],[],https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_normal.jpg,https://x.com/YouTube/status/1902087615139979265,tweet_id:1902087615139979265
